dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Crop,0.7704761904761904,0.7685119047619048,0.7680357142857143,0.7678571428571429,0.7742857142857142,0.7666666666666667,0.772797619047619,0.7706547619047619,0.7627380952380952,0.7701190476190476,0.7716666666666666,0.770952380952381,0.7698214285714285,0.7657142857142857,0.7652380952380953,0.7690476190476191,0.770952380952381,0.7708333333333334,0.7668452380952381,0.7725595238095239,0.7682738095238095,0.7696428571428572,0.773452380952381,0.7682142857142857,0.7717857142857143,0.7725595238095239,0.7711309523809524,0.7672619047619048,0.7667261904761905,0.7719642857142858
DiatomSizeReduction,0.9313725490196079,0.9575163398692811,0.9019607843137255,0.8856209150326797,0.9607843137254902,0.9738562091503268,0.9575163398692811,0.9313725490196079,0.9803921568627451,0.9771241830065359,0.8986928104575164,0.9411764705882353,0.9771241830065359,0.8921568627450981,0.9411764705882353,0.8954248366013072,0.9052287581699346,0.9673202614379085,0.9738562091503268,0.9019607843137255,0.9771241830065359,0.954248366013072,0.9379084967320261,0.9803921568627451,0.8986928104575164,0.9869281045751634,0.9215686274509803,0.9673202614379085,0.9705882352941176,0.9771241830065359
DistalPhalanxOutlineAgeGroup,0.7841726618705036,0.8057553956834532,0.7985611510791367,0.8705035971223022,0.7410071942446043,0.7266187050359713,0.8345323741007195,0.7985611510791367,0.7482014388489209,0.7913669064748201,0.7913669064748201,0.8129496402877698,0.8561151079136691,0.7841726618705036,0.8129496402877698,0.8129496402877698,0.7985611510791367,0.8201438848920863,0.8129496402877698,0.7985611510791367,0.762589928057554,0.8129496402877698,0.7985611510791367,0.8129496402877698,0.8129496402877698,0.8273381294964028,0.8273381294964028,0.8273381294964028,0.8345323741007195,0.841726618705036
DistalPhalanxOutlineCorrect,0.782608695652174,0.8188405797101449,0.8623188405797102,0.8152173913043478,0.8478260869565217,0.8768115942028986,0.8333333333333334,0.8297101449275363,0.8260869565217391,0.8478260869565217,0.8333333333333334,0.8333333333333334,0.8695652173913043,0.8804347826086957,0.855072463768116,0.8514492753623188,0.8623188405797102,0.8188405797101449,0.8478260869565217,0.8442028985507246,0.8369565217391305,0.8659420289855072,0.8079710144927537,0.855072463768116,0.8514492753623188,0.8514492753623188,0.8152173913043478,0.8297101449275363,0.8405797101449275,0.8478260869565217
DistalPhalanxTW,0.7050359712230215,0.6834532374100719,0.7266187050359713,0.7338129496402878,0.7338129496402878,0.6906474820143885,0.7122302158273381,0.6834532374100719,0.7050359712230215,0.697841726618705,0.6834532374100719,0.7194244604316546,0.6690647482014388,0.6834532374100719,0.697841726618705,0.7266187050359713,0.7122302158273381,0.6834532374100719,0.7338129496402878,0.7338129496402878,0.6906474820143885,0.6834532374100719,0.6906474820143885,0.7338129496402878,0.7482014388489209,0.6834532374100719,0.7050359712230215,0.6690647482014388,0.6618705035971223,0.7482014388489209
Earthquakes,0.7338129496402878,0.7482014388489209,0.7410071942446043,0.7338129496402878,0.762589928057554,0.7410071942446043,0.697841726618705,0.7482014388489209,0.7482014388489209,0.7122302158273381,0.7410071942446043,0.7338129496402878,0.7482014388489209,0.7697841726618705,0.7553956834532374,0.7482014388489209,0.7697841726618705,0.7410071942446043,0.7338129496402878,0.7266187050359713,0.7553956834532374,0.7482014388489209,0.7410071942446043,0.7553956834532374,0.7553956834532374,0.7553956834532374,0.7410071942446043,0.7553956834532374,0.7769784172661871,0.7266187050359713
ECG200,0.89,0.89,0.92,0.9,0.91,0.89,0.9,0.91,0.93,0.9,0.93,0.89,0.89,0.9,0.88,0.86,0.84,0.92,0.92,0.89,0.84,0.91,0.87,0.92,0.91,0.92,0.9,0.92,0.86,0.91
ECG5000,0.9495555555555556,0.9466666666666667,0.9473333333333334,0.9493333333333334,0.9442222222222222,0.9495555555555556,0.946,0.9444444444444444,0.9508888888888889,0.946,0.948,0.9446666666666667,0.952,0.9455555555555556,0.9473333333333334,0.9484444444444444,0.9488888888888889,0.9484444444444444,0.9475555555555556,0.9486666666666667,0.9508888888888889,0.9493333333333334,0.9457777777777778,0.9455555555555556,0.9486666666666667,0.9497777777777778,0.9477777777777778,0.9437777777777778,0.9482222222222222,0.9471111111111111
ECGFiveDays,1.0,0.9976771196283392,1.0,0.9907084785133565,0.9941927990708479,0.9930313588850174,0.9790940766550522,1.0,0.9698025551684089,0.9988385598141696,0.9988385598141696,0.9965156794425087,0.9930313588850174,0.9907084785133565,0.9941927990708479,1.0,1.0,1.0,1.0,0.991869918699187,0.9930313588850174,0.983739837398374,0.9988385598141696,0.9988385598141696,0.9965156794425087,0.9825783972125436,1.0,0.9930313588850174,0.9988385598141696,1.0
ElectricDevices,0.7646219686162625,0.9053300479834003,0.8981973803657113,0.9076643755673713,0.904292569057191,0.9019582414732201,0.9059784723122811,0.9036441447283102,0.9039035144598625,0.9026066658021009,0.9107768123459993,0.9061081571780574,0.9062378420438335,0.908183115030476,0.9105174426144469,0.9057191025807289,0.9067565815069382,0.9016988717416677,0.9049409933860718,0.9067565815069382,0.9044222539229672,0.9059784723122811,0.9076643755673713,0.908183115030476,0.9084424847620283,0.9075346907015951,0.9054597328491765,0.9061081571780574,0.9120736610037609,0.9099987031513422
EOGHorizontalSignal,0.5607734806629834,0.861878453038674,0.8342541436464088,0.8480662983425414,0.8453038674033149,0.856353591160221,0.861878453038674,0.850828729281768,0.8729281767955801,0.8895027624309392,0.8646408839779005,0.8839779005524862,0.8729281767955801,0.8591160220994475,0.8701657458563536,0.9005524861878453,0.8591160220994475,0.8784530386740331,0.8674033149171271,0.8646408839779005,0.8425414364640884,0.850828729281768,0.8480662983425414,0.8812154696132597,0.8674033149171271,0.8812154696132597,0.8397790055248618,0.856353591160221,0.8674033149171271,0.8729281767955801
EOGVerticalSignal,0.5276243093922652,0.8259668508287292,0.8121546961325967,0.8342541436464088,0.8066298342541437,0.8287292817679558,0.8342541436464088,0.8370165745856354,0.7955801104972375,0.7734806629834254,0.8314917127071824,0.8314917127071824,0.8149171270718232,0.8204419889502762,0.8314917127071824,0.787292817679558,0.8011049723756906,0.8066298342541437,0.8425414364640884,0.8066298342541437,0.787292817679558,0.8176795580110497,0.856353591160221,0.8121546961325967,0.8011049723756906,0.8370165745856354,0.8121546961325967,0.8204419889502762,0.8066298342541437,0.8149171270718232
EthanolLevel,0.612,0.716,0.73,0.724,0.726,0.726,0.684,0.702,0.678,0.714,0.726,0.722,0.686,0.7,0.728,0.714,0.71,0.684,0.7,0.676,0.716,0.696,0.74,0.738,0.696,0.746,0.692,0.744,0.684,0.706
FaceAll,0.8059171597633136,0.991715976331361,0.9928994082840237,0.9923076923076923,0.9923076923076923,0.9857988165680474,0.98698224852071,0.9881656804733728,0.9911242603550295,0.9911242603550295,0.9928994082840237,0.9923076923076923,0.9911242603550295,0.9923076923076923,0.9911242603550295,0.9899408284023669,0.9905325443786982,0.9905325443786982,0.9893491124260355,0.9887573964497042,0.9899408284023669,0.9887573964497042,0.9899408284023669,0.9857988165680474,0.991715976331361,0.9887573964497042,0.9846153846153847,0.9928994082840237,0.9887573964497042,0.9905325443786982
FaceFour,0.9431818181818182,0.9204545454545454,0.9659090909090909,0.8181818181818182,0.9318181818181818,0.8977272727272727,0.8977272727272727,0.9659090909090909,0.9090909090909091,0.8409090909090909,0.9545454545454546,0.9431818181818182,0.9204545454545454,0.9090909090909091,0.9545454545454546,0.9659090909090909,0.9090909090909091,0.9318181818181818,0.8295454545454546,0.9659090909090909,0.875,0.9090909090909091,0.9090909090909091,0.8409090909090909,0.8977272727272727,0.9659090909090909,0.9318181818181818,0.8977272727272727,0.8977272727272727,0.8863636363636364
FacesUCR,0.953170731707317,0.964390243902439,0.9741463414634146,0.9614634146341463,0.9565853658536585,0.9726829268292683,0.9746341463414634,0.9673170731707317,0.9751219512195122,0.9609756097560975,0.9707317073170731,0.9619512195121951,0.9634146341463414,0.9682926829268292,0.9624390243902439,0.9614634146341463,0.953170731707317,0.9551219512195122,0.9780487804878049,0.9692682926829268,0.973170731707317,0.9707317073170731,0.9712195121951219,0.9736585365853658,0.9697560975609756,0.9556097560975609,0.9692682926829268,0.9721951219512195,0.9721951219512195,0.9556097560975609
FiftyWords,0.8395604395604396,0.8219780219780219,0.8351648351648352,0.8285714285714286,0.8373626373626374,0.8197802197802198,0.8241758241758241,0.8505494505494505,0.8549450549450549,0.8307692307692308,0.8395604395604396,0.8417582417582418,0.8241758241758241,0.8571428571428571,0.8219780219780219,0.843956043956044,0.8351648351648352,0.8175824175824176,0.8549450549450549,0.8417582417582418,0.8549450549450549,0.8307692307692308,0.8263736263736263,0.843956043956044,0.8395604395604396,0.832967032967033,0.8395604395604396,0.8417582417582418,0.8461538461538461,0.8505494505494505
