dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
DistalPhalanxOutlineCorrect,0.8007246376811594,0.8297101449275363,0.8695652173913043,0.8152173913043478,0.8405797101449275,0.8768115942028986,0.8623188405797102,0.8369565217391305,0.8260869565217391,0.8623188405797102,0.8405797101449275,0.8369565217391305,0.8586956521739131,0.8659420289855072,0.8442028985507246,0.8768115942028986,0.8623188405797102,0.8115942028985508,0.8514492753623188,0.8405797101449275,0.8514492753623188,0.8369565217391305,0.8043478260869565,0.8586956521739131,0.8623188405797102,0.8369565217391305,0.8007246376811594,0.8297101449275363,0.8297101449275363,0.8478260869565217
DistalPhalanxTW,0.7050359712230215,0.6762589928057554,0.697841726618705,0.7338129496402878,0.7338129496402878,0.6762589928057554,0.6906474820143885,0.697841726618705,0.7194244604316546,0.6762589928057554,0.6762589928057554,0.7122302158273381,0.6402877697841727,0.6762589928057554,0.7194244604316546,0.7050359712230215,0.7194244604316546,0.6474820143884892,0.7050359712230215,0.7122302158273381,0.7266187050359713,0.697841726618705,0.6834532374100719,0.7266187050359713,0.7122302158273381,0.6762589928057554,0.7194244604316546,0.6690647482014388,0.6618705035971223,0.7338129496402878
Earthquakes,0.7482014388489209,0.7482014388489209,0.7482014388489209,0.7266187050359713,0.7482014388489209,0.7553956834532374,0.7266187050359713,0.7410071942446043,0.762589928057554,0.7338129496402878,0.7338129496402878,0.7266187050359713,0.762589928057554,0.7482014388489209,0.7697841726618705,0.7266187050359713,0.7553956834532374,0.7194244604316546,0.697841726618705,0.7194244604316546,0.7482014388489209,0.7122302158273381,0.7482014388489209,0.7338129496402878,0.7482014388489209,0.7410071942446043,0.762589928057554,0.7553956834532374,0.7482014388489209,0.7338129496402878
ECG200,0.91,0.9,0.9,0.9,0.91,0.91,0.89,0.88,0.94,0.92,0.9,0.87,0.88,0.89,0.88,0.88,0.84,0.9,0.93,0.86,0.87,0.87,0.83,0.92,0.91,0.91,0.85,0.94,0.85,0.92
ECG5000,0.946,0.9453333333333334,0.9457777777777778,0.9484444444444444,0.9464444444444444,0.9475555555555556,0.9433333333333334,0.9435555555555556,0.9482222222222222,0.9457777777777778,0.9475555555555556,0.9437777777777778,0.9522222222222222,0.9453333333333334,0.948,0.9457777777777778,0.9457777777777778,0.9444444444444444,0.9457777777777778,0.946,0.9475555555555556,0.9477777777777778,0.9453333333333334,0.9475555555555556,0.9475555555555556,0.9468888888888889,0.9448888888888889,0.9428888888888889,0.948,0.9448888888888889
ECGFiveDays,1.0,1.0,1.0,0.9767711962833914,1.0,0.9709639953542393,0.9698025551684089,1.0,1.0,0.9988385598141696,0.991869918699187,0.9976771196283392,0.9709639953542393,0.9581881533101045,0.9965156794425087,1.0,1.0,0.9953542392566783,1.0,0.983739837398374,0.9988385598141696,0.9686411149825784,0.9988385598141696,0.991869918699187,0.9988385598141696,0.9802555168408827,1.0,0.9849012775842044,0.9721254355400697,1.0
ElectricDevices,0.7631954350927247,0.8978083257683829,0.8933990403319932,0.8974192711710544,0.8961224225132927,0.8939177797950979,0.895603683050188,0.8970302165737258,0.8950849435870833,0.8902866035533653,0.9016988717416677,0.8924912462715601,0.896381792244845,0.9005317079496823,0.8952146284528596,0.8974192711710544,0.9006613928154584,0.8962521073790689,0.8957333679159643,0.8969005317079497,0.8978083257683829,0.8969005317079497,0.8950849435870833,0.9002723382181299,0.8975489560368305,0.8970302165737258,0.894047464660874,0.8991051744261445,0.9022176112047724,0.8966411619763973
EOGHorizontalSignal,0.6353591160220995,0.8591160220994475,0.8232044198895028,0.8535911602209945,0.850828729281768,0.8701657458563536,0.8453038674033149,0.8701657458563536,0.8701657458563536,0.8784530386740331,0.856353591160221,0.8839779005524862,0.8756906077348067,0.8480662983425414,0.8674033149171271,0.8950276243093923,0.8756906077348067,0.8839779005524862,0.8646408839779005,0.8867403314917127,0.856353591160221,0.8922651933701657,0.8342541436464088,0.8729281767955801,0.8701657458563536,0.861878453038674,0.8287292817679558,0.8729281767955801,0.861878453038674,0.8895027624309392
EOGVerticalSignal,0.4723756906077348,0.8204419889502762,0.8093922651933702,0.8232044198895028,0.8121546961325967,0.8314917127071824,0.8232044198895028,0.8204419889502762,0.8066298342541437,0.7734806629834254,0.8342541436464088,0.8480662983425414,0.8093922651933702,0.8480662983425414,0.8204419889502762,0.8232044198895028,0.7955801104972375,0.8011049723756906,0.8342541436464088,0.8066298342541437,0.8204419889502762,0.856353591160221,0.8038674033149171,0.8121546961325967,0.8121546961325967,0.8259668508287292,0.8287292817679558,0.8204419889502762,0.8011049723756906,0.8232044198895028
EthanolLevel,0.64,0.696,0.704,0.704,0.746,0.704,0.708,0.706,0.716,0.706,0.704,0.738,0.678,0.716,0.714,0.71,0.696,0.726,0.698,0.696,0.674,0.708,0.738,0.756,0.71,0.72,0.686,0.718,0.712,0.708
FaceAll,0.8041420118343195,0.991715976331361,0.9899408284023669,0.9893491124260355,0.9923076923076923,0.9857988165680474,0.9863905325443787,0.9863905325443787,0.9905325443786982,0.9863905325443787,0.9905325443786982,0.9923076923076923,0.9911242603550295,0.991715976331361,0.9928994082840237,0.9905325443786982,0.9875739644970414,0.9911242603550295,0.991715976331361,0.9875739644970414,0.9899408284023669,0.9846153846153847,0.9899408284023669,0.985207100591716,0.991715976331361,0.9899408284023669,0.9863905325443787,0.9923076923076923,0.9905325443786982,0.9899408284023669
FaceFour,0.9659090909090909,0.9886363636363636,0.9886363636363636,0.875,0.9318181818181818,0.9090909090909091,0.8977272727272727,0.9772727272727273,0.8977272727272727,0.8863636363636364,0.9659090909090909,0.9772727272727273,0.9204545454545454,0.9090909090909091,0.9772727272727273,0.9772727272727273,0.8977272727272727,0.9772727272727273,0.8863636363636364,0.9772727272727273,0.9090909090909091,0.9204545454545454,0.9659090909090909,0.9545454545454546,0.9431818181818182,0.9772727272727273,0.9318181818181818,0.8977272727272727,0.9545454545454546,0.8977272727272727
FacesUCR,0.9560975609756097,0.9721951219512195,0.9717073170731707,0.9712195121951219,0.9590243902439024,0.9736585365853658,0.9795121951219512,0.9639024390243902,0.9712195121951219,0.9673170731707317,0.9741463414634146,0.9678048780487805,0.9639024390243902,0.9712195121951219,0.96,0.9673170731707317,0.9590243902439024,0.9614634146341463,0.9785365853658536,0.975609756097561,0.9775609756097561,0.9717073170731707,0.9751219512195122,0.9751219512195122,0.9751219512195122,0.9595121951219512,0.9741463414634146,0.9775609756097561,0.9736585365853658,0.9595121951219512
